http://who.int/icd#4050_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#11_8e8fddc4_a502_4bf4_b128_ebfca1d73928	conjunctiva; lymphangiectasis	To be retired - Diseases of the eye and adnexa
http://who.int/icd#390_588c79f3_df65_43e0_903d_add110bf20de	http://who.int/icd#165_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	Immune-related Type 1 diabetes mellitus with other neurological complications	"To be retired - Endocrine, nutritional and metabolic diseases"
http://who.int/icd#480_0b613046_a993_48cb_b59c_d8118caee0b7	http://who.int/icd#121_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	"Malignant neoplasm of epididymis, type unspecified"	To be retired - Neoplasms
http://who.int/icd#33715_a54dce9f_0ddd_474d_baa4_c149f052e65d	http://who.int/icd#11303_8716753b_e453_4876_8495_e2fe7d720f73	"Special vehicle mainly used in agriculture, except tractor as motor vehicle used by person injured in transport related event "	TO BE RETIRED
http://who.int/icd#Medicaments_4029_f3b7cb4e_72bc_44e9_a4f3_4c945803be1b	http://who.int/icd#1575_52a94b8b_65cc_439a_b8e5_57058c37b3ab	Diethyl ether (vapor)	to be retired
http://who.int/icd#Consciousness_88_938ccdf1_0c6e_4de7_b72a_5e4ac69565c6	http://who.int/icd#429_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	Duration of coma	"To be retired - Injury, poisoning and certain other consequences of external causes"
http://who.int/icd#31163_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#1177_1e4c5207_b1e3_4959_ac0c_d4ff2b8506c1	Facial pain attributed to multiple sclerosis	To be retired - Diseases of the nervous system
http://who.int/icd#9000_378b7cb7_5b17_422d_b68b_e793f5e48664	http://who.int/icd#1575_52a94b8b_65cc_439a_b8e5_57058c37b3ab	Impetigo	to be retired
http://who.int/icd#10800_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07	http://who.int/icd#1177_1e4c5207_b1e3_4959_ac0c_d4ff2b8506c1	Focal myokymia	To be retired - Diseases of the nervous system
http://who.int/icd#495_0b613046_a993_48cb_b59c_d8118caee0b7	http://who.int/icd#121_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	"Malignant neoplasm of spermatic cord, type unspecified"	To be retired - Neoplasms
http://who.int/icd#5723_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#33_73c4b39c_f762_4f19_8fad_6805122b0d65	Fungal spinal cord cyst	To be retired - Certain infectious and parasitic diseases
http://who.int/icd#13319_014531d1_19f0_40a9_8799_a9c2cff63779	http://who.int/icd#176_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	"Bipolar type I disorder, currently in partial remission, most recent episode depressive, with seasonal pattern and rapid cycling"	To be retired - Mental and behavioural disorders
