Id	Internal ID	Title	IsInICD10	MigrateContentToParent	Parent	Internal ID Parent
http://id.who.int/icd/entity/2001715483	http://who.int/icd#M02.8	Other reactive arthropathies	IsInICD10	FALSE		
http://id.who.int/icd/entity/1725055510	http://who.int/icd#M11.8	Other specified crystal arthropathies	IsInICD10	FALSE		
http://id.who.int/icd/entity/174875394	http://who.int/icd#M60.8	Other myositis	IsInICD10	FALSE		
http://id.who.int/icd/entity/803249838	http://who.int/icd#M84.8	Other disorders of continuity of bone	IsInICD10	FALSE		
http://id.who.int/icd/entity/75746525	http://who.int/icd#M93.8	Other specified osteochondropathies	IsInICD10	FALSE		
http://id.who.int/icd/entity/1812006558	http://who.int/icd#M99.8	Other biomechanical lesions	IsInICD10	FALSE		
http://id.who.int/icd/entity/587363612	http://who.int/icd#M95.8	Other specified acquired deformities of musculoskeletal system	IsInICD10	FALSE		
http://id.who.int/icd/entity/1493828789	http://who.int/icd#R29.8	Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems	IsInICD10	FALSE		
http://id.who.int/icd/entity/369719095	http://who.int/icd#R25.8	Other and unspecified abnormal involuntary movements	IsInICD10	FALSE		
http://id.who.int/icd/entity/192290696	http://who.int/icd#R27.8	Other and unspecified lack of coordination	IsInICD10	FALSE		
http://id.who.int/icd/entity/619240781	http://who.int/icd#G13.8	Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere	IsInICD10	FALSE		
http://id.who.int/icd/entity/272312492	http://who.int/icd#R00.8	Other and unspecified abnormalities of heart beat	IsInICD10	FALSE		
http://id.who.int/icd/entity/1763992038	http://who.int/icd#R19.8	Other specified symptoms and signs involving the digestive system and abdomen	IsInICD10	FALSE		
http://id.who.int/icd/entity/1789752594	http://who.int/icd#R44.8	Other and unspecified symptoms and signs involving general sensations and perceptions	IsInICD10	FALSE		
http://id.who.int/icd/entity/1286302959	http://who.int/icd#R41.8	Other and unspecified symptoms and signs involving cognitive functions and awareness	IsInICD10	FALSE		
http://id.who.int/icd/entity/1797969198	http://who.int/icd#R47.8	Other and unspecified speech disturbances	IsInICD10	FALSE		
http://id.who.int/icd/entity/93995250	http://who.int/icd#R68.8	Other specified general symptoms and signs	IsInICD10	FALSE		
http://id.who.int/icd/entity/1910522418	http://who.int/icd#R63.8	Other symptoms and signs concerning food and fluid intake	IsInICD10	FALSE		
http://id.who.int/icd/entity/1225795460	http://who.int/icd#R39.8	Other and unspecified symptoms and signs involving the urinary system	IsInICD10	FALSE		
http://id.who.int/icd/entity/831049462	http://who.int/icd#R23.8	Other and unspecified skin changes	IsInICD10	FALSE		
http://id.who.int/icd/entity/1527033981	http://who.int/icd#R77.8	Other specified abnormalities of plasma proteins	IsInICD10	FALSE		
http://id.who.int/icd/entity/342955356	http://who.int/icd#A42.8	Other forms of actinomycosis	IsInICD10	FALSE		
http://id.who.int/icd/entity/481236415	http://who.int/icd#A28.8	"Other specified zoonotic bacterial diseases, not elsewhere classified"	IsInICD10	FALSE		
http://id.who.int/icd/entity/753340147	http://who.int/icd#P37.8	Other specified congenital infectious and parasitic diseases	IsInICD10	FALSE		
http://id.who.int/icd/entity/807388786	http://who.int/icd#P36.8	Other bacterial sepsis of newborn	IsInICD10	FALSE		
http://id.who.int/icd/entity/936359785	http://who.int/icd#A83.8	Other mosquito-borne viral encephalitis	IsInICD10	FALSE		
http://id.who.int/icd/entity/2138844051	http://who.int/icd#J12.8	Other viral pneumonia	IsInICD10	FALSE		
http://id.who.int/icd/entity/1141201619	http://who.int/icd#J15.8	Other bacterial pneumonia	IsInICD10	FALSE		
